First Name,Last Name,Title,Company / Account,Lead Status,Email
Wojciech,Nadachowski,Senior Advisor - Operations & Projects,Olga Tennison Autism Research Centre,Open,w.nadachowski@spadm203-351.edu
Kelly,Travis,,Second Street,Open,kelly@spadm203-352.edu
Alphons,Mulders,CEO,Expereo USA,Open,alphons.mulders@spadm203-353.edu
mark,peplow,,fujitsu,Open,mark.peplow@spadm203-354.edu
Scott,Kuehn,Sales Director,[not provided],Open,scott@spadm203-355.edu
Kyle,DeRoos,Salesforce Administrator,Playworks,Open,kderoos@spadm203-356.edu
Esty,Rubin,,[not provided],Open,er@spadm203-357.edu
Jake,Carroll,Sr Business Architect - Sales,Qwest,Open,jake.carroll@spadm203-358.edu
Kim,Cancel,,Neill Corp,Open,kim.cancel@spadm203-359.edu
Jim,Rafte,,Proforma Preferred Solutions,Open,jim.rafte@spadm203-360.edu
Geoff,Thompson,General Manager,Laser & Sign Technology,Open,geoff@spadm203-361.edu
Diane,Gonthier,,William Temple House,Open,dgonthier@spadm203-362.edu
Chad,Smith,,N/A,Open,chad@spadm203-363.edu
,Ceterna,,Ceterna,Open,avivalife@spadm203-364.edu
Heather,Kelley,Accountant,Vista,Open,hkelley@spadm203-365.edu
marimedia,Admin,PM,Marimedia,Open,ron.davidson@spadm203-366.edu
Kurtis,McConn,CEO,"Dakota Air Parts Intl., Inc.",Open,kc@spadm203-367.edu
mark,peplow,,fujitsu,Open,mark.peplow@spadm203-368.edu
Drew,Graham,,CobbleStay.com,Open,drew@spadm203-369.edu
Stephanie,Hoover,Catering Coordinator,CAFE RIO MEXICAN GRILL,Open,shoover@spadm203-370.edu
Sheryl,Shepherd,,Cincinnatistate,Open,sshepherd@spadm203-371.edu
Megan,Cook,,Hunt Electric,Open,mcook@spadm203-372.edu
Arnaud,Cherval,,ANZ,Open,arnaud.cherval@spadm203-373.edu
Peter,van Ballegooie,,Ecosynthetix,Open,pvanballegooie@spadm203-374.edu
richrd,french,,Ecosynthetix,Open,rfrench@spadm203-375.edu
Gayatri,Ganesh,Associate Consultant,Infosys Technologies,Open,gganesh@spadm203-376.edu
Scotti,Good,,Eco,Open,sgood@spadm203-377.edu
Gavin,Hatherell,,Ecosynthetix,Open,ghatherell@spadm203-378.edu
Marcelo,Santos,,Ecosynthetix,Open,mpampolha@spadm203-379.edu
Jeremy,Magid,CSA,[not provided],Open,jeremy.magid@spadm203-380.edu
Gavin,Hatherell,,Ecosynthetix,Open,ghatherell@spadm203-381.edu
John,van Leeuwen,,Ecosynthetix Inc.,Open,vanleeuwen@spadm203-382.edu
Libra,Admin,Professional Services,Drury Hotels,Open,lod_drury@spadm203-383.edu
Meggan,Tufveson,,[not provided],Open,mtufveson@spadm203-384.edu
Linda,Lau,,[not provided],Open,llau@spadm203-385.edu
,Bravogroup Rendszerh·z,,Bravogroup Rendszerh·z Kft.,Open,bravo@spadm203-386.edu
Kelly,Travis,,Second Street,Open,kelly@spadm203-387.edu
James,Arquette,Commercial Director,[not provided],Open,james.arquette@spadm203-388.edu
jim,gorzka,,Embarqmail,Open,jimusmc@spadm203-389.edu
Linda,Lau,,Inc.500,Open,llau@spadm203-390.edu
Thomas,Jensen,Global CRM Manager,Falck Nutec Holding,Open,thomas.jensen@spadm203-391.edu
anil,kumar,,Gmail,Open,anil.p479@spadm203-392.edu
Jeremy,Magid,CSA,[not provided],Open,jeremy.magid@spadm203-393.edu
marimedia,Admin,,Marimedia,Open,ron.davidson@spadm203-394.edu
Scott,Billadeau,,Universal Containers,Open,scott.billadeau@spadm203-395.edu
Scott,Billadeau,,[not provided],Open,scott.billadeau@spadm203-396.edu
Angela,Adams,,Bank of America Contact Center Demo,Open,aadams@spadm203-397.edu
Thea,Leisen,Marketing CRM Specialist,GovDelivery Inc,Open,thea.leisen@spadm203-398.edu
Ricky,Rampersad,Assistant Branch Manager,AIM*,Open,ricky.rampersad@spadm203-399.edu
Scott,Kuehn,Sales Director,[not provided],Open,scott@spadm203-400.edu
Angela,Adams,,Bank of America Contact Center Demo,Open,aadams@spadm203-401.edu
Marcelo,Santos,,Ecosynthetix,Open,mpampolha@spadm203-402.edu
John,van Leeuwen,,Ecosynthetix,Open,jvanleeuwen@spadm203-403.edu
Chad,Smith,,N/A,Open,chad@spadm203-404.edu
Kathy,Lindeke,Business Manager,"The ClearView Group, Inc.",Open,kathylindeke@spadm203-405.edu
Nancy,Franklin,Special Projects Lead,Archer Well,Open,nancy.franklin@spadm203-406.edu
Chameen,Battegoda,Salesforce Developer,[not provided],Open,cbattegoda@spadm203-407.edu
Robert,Holt,"Director, Sales",Navy Mutual Aid Association,Open,rholt@spadm203-408.edu
Paul,Kissick,Senior System Engineer,Nigel Wright Consultancy Ltd,Open,paul.kissick@spadm203-409.edu
Chameen,Battegoda,Salesforce Developer,[not provided],Open,cbattegoda@spadm203-410.edu
,Admin,System Administrator,SURFWOOD EQUIPMENT L.P.,Open,surfwood@spadm203-411.edu
M,Sridhar,,Apsona,Open,sridhar@spadm203-412.edu
Whitney,Frey,,G2insurance,Open,wfrey@spadm203-413.edu
Christoph,Blaer,Sales Analyst,sia Abrasives Australia Pty. Ltd,Open,christoph.blaer@spadm203-414.edu
Ryan,Fligg,Support,Windward Studios,Open,ryanf@spadm203-415.edu
Nisarg,Vyas,Manager,abc,Open,nisarg_30@spadm203-416.edu
Michelle,Palomino,,Sales,Open,michelle.palomino@spadm203-417.edu
Ryan,Fligg,,"Windward Studios, Inc.",Open,ryanf@spadm203-418.edu
Christoph,Blaer,Sales Analyst,sia Abrasives Australia Pty. Ltd,Open,christoph.blaer@spadm203-419.edu
Craig,Kasper,Manager,Alkon Fasteners,Open,craig@spadm203-420.edu
James,Bayliss,SalesForce Administrator,Leadership Trust,Open,jamesbayliss@spadm203-421.edu
John,Paredes,,US Home Ownership LLC,Open,john@spadm203-422.edu
Pepijn,Herman,Directeur,Metatronics,Open,p.herman@spadm203-423.edu
Chris,Kellie,Sr. Salesforce System Analyst,"Key Technology, Inc",Open,ckellie@spadm203-424.edu
Kathy,Ecklund,"Small Business Reporting, Analytics & Tools",[not provided],Open,kathrine.ecklund@spadm203-425.edu
Jim,Rafte,Sales,Proforma Preferred Solutions,Open,jim.rafte@spadm203-426.edu
Jessica,Page-Admin,,[not provided],Open,jessica.page@spadm203-427.edu
Ken,Tichacek,,Think Like Your Clients,Open,ken@spadm203-428.edu
Scott,Kuehn,,Jeni's Splendid Ice Creams,Open,scott@spadm203-429.edu
Amy,Tripodi,,"Where, a PayPal Service",Open,atripodi@spadm203-430.edu
Amy,Tripodi,Sales Development Manager,Where/Ebay,Open,atripodi@spadm203-431.edu
Fabien,Moreau,,Mars Drinks France,Open,fabien.moreau@spadm203-432.edu
Steve,Caldwell,,"Medical Present Value, Inc.",Open,scaldwell@spadm203-433.edu
Mike,Lewis,,Mech Tech Mktg. Inc.,Open,mail@spadm203-434.edu
Stephanie,Hoover,,Cafe Rio Mexican Grill,Open,shoover@spadm203-435.edu
David,McKillen,"Director, Sales and Client Services","MRA Advertising/Production Support Services, Inc.",Open,dmckillen@spadm203-436.edu
Paul,Craft,CTO/CFO,"Dry Force, LLC",Open,pcraft@spadm203-437.edu
Stephanie,Hoover,Catering Coordinator,CAFE RIO MEXICAN GRILL,Open,shoover@spadm203-438.edu
Larry,Davis,,Black Iron Group,Open,larry@spadm203-439.edu
Jacob,Johnson,,[not provided],Open,jacob.johnson@spadm203-440.edu
Manish,jjfg,kk,trcguylobal,Open,abomb52c@spadm203-441.edu
John,Schuler,,[not provided],Open,jschuler@spadm203-442.edu
Luke,Valente,Business Intelligence Coordinator,Return path,Open,luke.valente@spadm203-443.edu
Ken,Tichacek,Proprietor,"Think Like Your Clients, LLC",Open,ken@spadm203-444.edu
Ami,Knox-Hall,,Hitec,Open,ami.knox-hall@spadm203-445.edu
Robyn,Lane,"CRM Manager, International Domain - CRM Admin",Heat and Control,Open,rlane@spadm203-446.edu
Kimberly,Vega,Sales Manager,Glitz Design,Open,kimberly@spadm203-447.edu
Adam,Chapman,,William Blair (IM team),Open,achapman@spadm203-448.edu
Nigel,Runnalls,Consultant,cDecisions,Open,nigel.runnalls@spadm203-449.edu
Nisarg,Vyas,Manager,abc,Open,nisarg_30@spadm203-450.edu
jim,gorzka,,Embarqmail,Open,jimusmc@spadm203-451.edu
Ryan,Fligg,Support,Windward Studios,Open,ryanf@spadm203-452.edu
Kelly,Travis,,Second Street Media,Open,kelly@spadm203-453.edu
